Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
216,Northern Illinois,32,13,19,0.406,-6.16,-2.26,9,9,5,7,7,10,2304,2401,1285,837,1816,0.461,236,678,0.348,394,604,0.652,279,1060,402,207,74,458,617,103.0135026,107.3504426,69.89375,2236.6
217,Northern Iowa,32,14,18,0.438,-2.2,-0.59,9,11,8,8,4,7,2244,2238,1290,810,1788,0.453,238,699,0.34,386,554,0.697,244,1050,372,204,45,385,498,104.3429741,104.0639821,67.20625,2150.6
218,Northern Kentucky NCAA,34,22,12,0.647,-0.98,-3.45,14,6,14,3,6,6,2320,2161,1385,832,1928,0.432,278,794,0.35,378,546,0.692,376,1103,461,320,88,388,523,107.4870274,100.1204596,63.48235294,2158.4
219,Northwestern NCAA,32,21,11,0.656,13.57,8.38,12,8,13,5,7,4,2165,1999,1290,753,1856,0.406,245,764,0.321,414,551,0.751,327,1107,414,255,133,312,517,105.0257107,96.97293102,64.41875,2061.4
220,Northwestern State,33,22,11,0.667,-4.35,-6.66,13,5,10,3,10,7,2463,2378,1330,900,2024,0.445,278,770,0.361,385,547,0.704,400,1114,415,273,79,393,605,110.1619107,106.3601395,67.75151515,2235.8
221,Notre Dame,32,11,21,0.344,2.1,4.6,3,17,11,8,0,10,2227,2307,1285,810,1830,0.443,282,787,0.358,325,426,0.763,210,994,379,150,87,281,456,107.5118277,111.37395,64.73125,2071.4
222,Oakland,32,13,19,0.406,-7.79,-2.62,11,9,8,6,5,10,2347,2442,1305,823,1892,0.435,232,753,0.308,469,604,0.776,268,977,384,239,84,339,448,106.4592216,110.7683934,68.89375,2204.6
223,Ohio,33,19,14,0.576,1.47,-2.29,10,8,14,1,4,11,2602,2413,1325,945,2063,0.458,295,791,0.373,417,571,0.73,399,1239,412,221,73,370,585,115.0106082,106.6566478,68.55757576,2262.4
224,Ohio State,35,16,19,0.457,13.24,9.69,5,15,10,6,1,10,2538,2414,1410,948,2052,0.462,239,650,0.368,403,545,0.739,370,1257,410,181,132,375,573,111.5604396,106.1098901,65,2275
225,Oklahoma,32,15,17,0.469,11.96,11.83,5,13,9,7,2,8,2165,2161,1290,782,1707,0.458,224,638,0.351,377,513,0.735,232,1049,417,183,97,428,518,102.6942415,102.5045062,65.88125,2108.2
226,Oklahoma State,33,18,15,0.545,13.5,11.13,8,10,11,5,4,7,2259,2181,1325,803,1860,0.432,228,732,0.311,425,612,0.694,363,1214,414,188,161,468,570,102.2264458,98.69671463,66.96363636,2209.8
227,Old Dominion,31,19,12,0.613,-0.21,-0.45,11,7,12,4,6,5,2073,2052,1245,735,1760,0.418,164,523,0.314,439,646,0.68,375,1175,328,197,117,348,519,104.0976198,103.0430853,64.23870968,1991.4
228,Omaha,32,9,23,0.281,-10.38,-1.41,4,14,5,7,1,15,2192,2438,1285,797,1805,0.442,183,540,0.339,415,535,0.776,259,1037,380,172,92,400,584,101.4814815,112.8703704,67.5,2160
229,Oral Roberts NCAA,34,30,4,0.882,9.57,-2.96,18,0,16,0,11,4,2864,2384,1360,1039,2168,0.479,367,995,0.369,419,540,0.776,302,1256,504,234,183,320,445,119.2339717,99.25062448,70.64705882,2402
